airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status
Berlin-Schönefeld Airport,Germany,Europe,2022-05-10 00:00:00,SXF,Vladamir Roloff,Delayed
Carlos Rovirosa Pérez International Airport,Mexico,North America,2022-11-29 00:00:00,VSA,Brad McEttigen,Delayed
Licenciado y General Ignacio Lopez Rayon Airport,Mexico,North America,2022-07-19 00:00:00,UPN,Annaliese Potier,Delayed
Amado Nervo National Airport,Mexico,North America,2022-12-15 00:00:00,TPQ,Joycelin Cluney,On Time
Martin Miguel De Guemes International Airport,Argentina,South America,2022-04-28 00:00:00,SLA,Ulysses Roistone,Cancelled
Ingeniero Ambrosio Taravella Airport,Argentina,South America,2022-04-05 00:00:00,COR,Cornelia O'Mullaney,Cancelled
Friedrichshafen Airport,Germany,Europe,2022-01-09 00:00:00,FDH,Beitris Priestland,Delayed
Siegerland Airport,Germany,Europe,2022-07-04 00:00:00,SGE,Ashla Pavlik,Cancelled
Domingo Faustino Sarmiento Airport,Argentina,South America,2022-12-08 00:00:00,UAQ,Alejandra Faloon,Cancelled
RNAS Yeovilton,United Kingdom,Europe,2022-01-27 00:00:00,YEO,Lorain Snibson,Delayed
Xoxocotlán International Airport,Mexico,North America,2022-03-08 00:00:00,OAX,Ettore Glasspoole,On Time
Los Cabos International Airport,Mexico,North America,2022-10-13 00:00:00,SJD,Tiffani Fines,On Time
RAF West Malling,United Kingdom,Europe,2022-06-18 00:00:00,WEM,Ariel Mardee,On Time
RAF Benson,United Kingdom,Europe,2022-04-20 00:00:00,BEX,Tirrell Lincey,Cancelled
Liverpool John Lennon Airport,United Kingdom,Europe,2022-01-26 00:00:00,LPL,Derick Kornousek,Cancelled
Cochstedt Airport,Germany,Europe,2022-03-17 00:00:00,CSO,Irvine Mozzi,Cancelled
Juist Airport,Germany,Europe,2022-06-19 00:00:00,JUI,Ruttger Eastmond,Cancelled
Ástor Piazzola International Airport,Argentina,South America,2022-07-26 00:00:00,MDQ,Tully Kynan,Delayed
San Antonio Copalar Airport,Mexico,North America,2022-02-14 00:00:00,CJT,Conney Francey,Cancelled
Olavarria Airport,Argentina,South America,2022-10-07 00:00:00,OVR,Marni Evelyn,On Time
Lympne Airport,United Kingdom,Europe,2022-12-22 00:00:00,LYM,Sonja Cowhig,On Time
Saenz Peña Airport,Argentina,South America,2022-03-07 00:00:00,SZQ,Marion Sindell,Cancelled
Lamezia Terme Airport,Italy,Europe,2022-07-14 00:00:00,SUF,Fitzgerald Haworth,Delayed
Ingeniero Alberto Acuña Ongay International Airport,Mexico,North America,2022-02-18 00:00:00,CPE,Codi Attreed,Delayed
Piedras Negras International Airport,Mexico,North America,2022-01-12 00:00:00,PDS,Tobe Minogue,Cancelled
Tres Arroyos Airport,Argentina,South America,2022-05-18 00:00:00,OYO,Suzie Wyrall,On Time
Libertador Gral D Jose De San Martin Airport,Argentina,South America,2022-08-15 00:00:00,PSS,Allyn Menichi,Delayed
Southampton Airport,United Kingdom,Europe,2022-07-25 00:00:00,SOU,Antoine Ades,Delayed
Cabo F.A.A. H. R. Bordón Airport,Argentina,South America,2022-08-29 00:00:00,IGB,Jesse Harvie,Cancelled
Tres Arroyos Airport,Argentina,South America,2022-01-22 00:00:00,OYO,Teodoor Mikalski,On Time
Saarbrücken Airport,Germany,Europe,2022-11-18 00:00:00,SCN,Kakalina Hosier,On Time
Ciudad Obregón International Airport,Mexico,North America,2022-06-15 00:00:00,CEN,Lethia Houten,Delayed
Capitan D Daniel Vazquez Airport,Argentina,South America,2022-05-25 00:00:00,ULA,Horst Beams,On Time
Saarbrücken Airport,Germany,Europe,2022-11-10 00:00:00,SCN,Vincents Meeus,On Time
Malpensa International Airport,Italy,Europe,2022-05-16 00:00:00,MXP,Hillyer Cawood,On Time
Perito Moreno Airport,Argentina,South America,2022-06-21 00:00:00,PMQ,Celina Hungerford,Cancelled
Junin Airport,Argentina,South America,2022-09-25 00:00:00,JNI,Hastings Maber,Cancelled
Mercedes Airport,Argentina,South America,2022-05-17 00:00:00,MDX,Courtnay Vinton,Cancelled
General Pedro Jose Mendez International Airport,Mexico,North America,2022-10-25 00:00:00,CVM,Bernetta Roderick,Delayed
Santa Cruz Airport,Argentina,South America,2022-10-03 00:00:00,RZA,Stephen Perillio,On Time
Eisenach-Kindel Airport,Germany,Europe,2022-11-09 00:00:00,EIB,Barry Teas,On Time
Edinburgh Airport,United Kingdom,Europe,2022-12-18 00:00:00,EDI,Sebastian Pack,Cancelled
Cottbus-Drewitz Airport,Germany,Europe,2022-10-05 00:00:00,CBU,Artemis Gallally,On Time
RAF Lakenheath,United Kingdom,Europe,2022-12-20 00:00:00,LKZ,Connie Rodgerson,On Time
Lympne Airport,United Kingdom,Europe,2022-01-07 00:00:00,LYM,Florry Lampens,Delayed
Neumünster Airport,Germany,Europe,2022-01-17 00:00:00,EUM,Eartha MacTague,Delayed
Pisa International Airport,Italy,Europe,2022-03-17 00:00:00,PSA,Hilde Crichley,On Time
Memmingen Allgau Airport,Germany,Europe,2022-12-07 00:00:00,FMM,Yasmeen Schroeder,Cancelled
Manchester Airport,United Kingdom,Europe,2022-08-07 00:00:00,MAN,Korry Gunthorp,Delayed
Malpensa International Airport,Italy,Europe,2022-04-04 00:00:00,MXP,Tucker Proughten,Delayed
Belfast International Airport,United Kingdom,Europe,2022-05-10 00:00:00,BFS,Yuri Doneld,On Time
RAF Kinloss,United Kingdom,Europe,2022-05-31 00:00:00,FSS,Winnie Lucey,Delayed
Kirkwall Airport,United Kingdom,Europe,2022-06-13 00:00:00,KOI,Hillie Liebermann,On Time
Cortina Airport,Italy,Europe,2022-10-02 00:00:00,CDF,Pace Le Monnier,Delayed
San Carlos De Bariloche Airport,Argentina,South America,2022-09-12 00:00:00,BRC,Gonzales Klosser,On Time
Warton Airport,United Kingdom,Europe,2022-01-13 00:00:00,WRT,Oona Raveau,Cancelled
Celle Airport,Germany,Europe,2022-08-04 00:00:00,ZCN,Rosabelle Laybourn,Delayed
Gobernador Castello Airport,Argentina,South America,2022-03-30 00:00:00,VDM,Kerry Peart,Cancelled
Martin Miguel De Guemes International Airport,Argentina,South America,2022-05-31 00:00:00,SLA,Lolly Caddie,Cancelled
Pantelleria Airport,Italy,Europe,2022-05-27 00:00:00,PNL,Berna Doody,Cancelled
Heide-Büsum Airport,Germany,Europe,2022-07-10 00:00:00,HEI,Gene Neath,Cancelled
Frankfurt-Egelsbach Airport,Germany,Europe,2022-03-30 00:00:00,QEF,Davidson Bowser,Delayed
Hawarden Airport,United Kingdom,Europe,2022-06-06 00:00:00,CEG,Chevy Fonquernie,Delayed
General Lucio Blanco International Airport,Mexico,North America,2022-07-07 00:00:00,REX,Cobbie Devita,On Time
Angel Albino Corzo International Airport,Mexico,North America,2022-03-31 00:00:00,TGZ,Salvatore Gartside,Delayed
Saenz Peña Airport,Argentina,South America,2022-11-14 00:00:00,SZQ,Kerrill Wilhelmy,On Time
Maquinchao Airport,Argentina,South America,2022-02-18 00:00:00,MQD,Tamara Copo,Delayed
Villa Gesell Airport,Argentina,South America,2022-10-10 00:00:00,VLG,Laney Messier,Cancelled
Isla Mujeres Airport,Mexico,North America,2022-07-05 00:00:00,ISJ,Rianon Goricke,Cancelled
RAF Alconbury,United Kingdom,Europe,2022-02-11 00:00:00,AYH,Lon Woollends,Delayed
Gobernador Gregores Airport,Argentina,South America,2022-06-06 00:00:00,GGS,Isaiah Feander,Delayed
Neubrandenburg Airport,Germany,Europe,2022-12-20 00:00:00,FNB,Meggy Nulty,Cancelled
Comiso Airport,Italy,Europe,2022-05-01 00:00:00,CIY,Cherilyn Dayly,Delayed
Nuremberg Airport,Germany,Europe,2022-02-04 00:00:00,NUE,Cleavland Labon,Delayed
El Palomar Airport,Argentina,South America,2022-12-30 00:00:00,EPA,Muffin Matitiaho,Delayed
Bragado Airport,Argentina,South America,2022-09-24 00:00:00,QRF,Dom Tukely,On Time
Gualeguaychu Airport,Argentina,South America,2022-05-06 00:00:00,GHU,Hewe Boustred,On Time
Aachen-Merzbrück Airport,Germany,Europe,2022-03-28 00:00:00,AAH,Jeanelle Northern,Delayed
Maquinchao Airport,Argentina,South America,2022-03-11 00:00:00,MQD,Gelya Colwill,Delayed
Martin Miguel De Guemes International Airport,Argentina,South America,2022-01-20 00:00:00,SLA,Thibaud Cosins,Delayed
Xoxocotlán International Airport,Mexico,North America,2022-12-16 00:00:00,OAX,Wilburt Tenby,On Time
Curuzu Cuatia Airport,Argentina,South America,2022-02-09 00:00:00,UZU,Alice Garden,Cancelled
Rechlin-Lärz Airport,Germany,Europe,2022-03-05 00:00:00,REB,Giana Holttom,On Time
RAF Wildenrath,Germany,Europe,2022-04-27 00:00:00,WID,Tana Burnside,Cancelled
RAF Honington,United Kingdom,Europe,2022-10-12 00:00:00,BEQ,Susana Pont,On Time
Aachen-Merzbrück Airport,Germany,Europe,2022-03-28 00:00:00,AAH,Stanley Hounihan,Delayed
Mar de Cortés International Airport,Mexico,North America,2022-04-06 00:00:00,PPE,Marcelle Quarrell,Delayed
Hannover Airport,Germany,Europe,2022-04-18 00:00:00,HAJ,Natty Ciottoi,On Time
RAF Scampton,United Kingdom,Europe,2022-10-05 00:00:00,SQZ,Elle Forsdicke,Cancelled
Böblingen Flugfeld,Germany,Europe,2022-10-19 00:00:00,PHM,Gerhardt Yglesia,On Time
Alferez Armando Rodriguez Airport,Argentina,South America,2022-08-26 00:00:00,LLS,Israel Stovin,Delayed
Cananea National Airport,Mexico,North America,2022-05-11 00:00:00,CNA,Waly Boggon,Cancelled
Norden-Norddeich Airport,Germany,Europe,2022-02-06 00:00:00,NOD,Lorette Gianuzzi,Delayed
Orán Airport,Argentina,South America,2022-07-10 00:00:00,ORA,Kimmie McClure,On Time
Piedras Negras International Airport,Mexico,North America,2022-12-12 00:00:00,PDS,Antonetta O'Doran,Cancelled
Cuneo International Airport,Italy,Europe,2022-10-28 00:00:00,CUF,Shayla Kopp,Delayed
Birmingham International Airport,United Kingdom,Europe,2022-06-05 00:00:00,BHX,Smith Wansbury,Cancelled
Cottbus-Drewitz Airport,Germany,Europe,2022-09-29 00:00:00,CBU,Celina Dunphy,Delayed
Hermanos Serdán International Airport,Mexico,North America,2022-10-03 00:00:00,PBC,Patton Laverick,On Time
Barth Airport,Germany,Europe,2022-12-22 00:00:00,BBH,Jolee Hallward,Delayed
Wyk auf Föhr Airport,Germany,Europe,2022-04-14 00:00:00,OHR,Orion Sturton,On Time
Lampedusa Airport,Italy,Europe,2022-07-27 00:00:00,LMP,Demeter Bossom,Delayed
St. Mary's Airport,United Kingdom,Europe,2022-04-13 00:00:00,ISC,Dall Flynn,Delayed
Comodoro Pierrestegui Airport,Argentina,South America,2022-09-08 00:00:00,COC,Lorianna Vlasyev,Cancelled
Tres Arroyos Airport,Argentina,South America,2022-03-09 00:00:00,OYO,Corabel Ritelli,On Time
Almirante Marco Andres Zar Airport,Argentina,South America,2022-12-19 00:00:00,REL,Eleanor Garbutt,Delayed
Foula Airfield,United Kingdom,Europe,2022-03-07 00:00:00,FOA,Basia Carlucci,On Time
Villa Constitución Airport,Mexico,North America,2022-09-21 00:00:00,VIB,Clive Elnough,Delayed
Manuel Márquez de León International Airport,Mexico,North America,2022-03-02 00:00:00,LAP,Cristal Kirk,Delayed
Whalsay Airport,United Kingdom,Europe,2022-08-26 00:00:00,WHS,Blinny Arnoud,Delayed
Hawarden Airport,United Kingdom,Europe,2022-03-25 00:00:00,CEG,Valentijn Mahmood,On Time
Binbrook Airfield,United Kingdom,Europe,2022-12-09 00:00:00,GSY,Hastings Kenford,Cancelled
Scatsta Airport,United Kingdom,Europe,2022-02-04 00:00:00,SCS,Mycah Tewkesbury.,Cancelled
Lampedusa Airport,Italy,Europe,2022-02-13 00:00:00,LMP,Anna-diana Farry,Delayed
North Ronaldsay Airport,United Kingdom,Europe,2022-06-04 00:00:00,NRL,Isabel Shemming,On Time
Eisenach-Kindel Airport,Germany,Europe,2022-05-10 00:00:00,EIB,Veronique Weinberg,Delayed
Álamos Airport,Mexico,North America,2022-04-12 00:00:00,XAL,Shep Cathery,Delayed
Baltrum Airport,Germany,Europe,2022-04-30 00:00:00,BMR,Elisa Mouse,Cancelled
Coll Airport,United Kingdom,Europe,2022-11-20 00:00:00,COL,Romonda Waud,Cancelled
East Midlands Airport,United Kingdom,Europe,2022-08-23 00:00:00,EMA,Roxie Guys,Cancelled
Cagliari Elmas Airport,Italy,Europe,2022-06-30 00:00:00,CAG,Gradeigh Tavernor,Cancelled
Santa Teresita Airport,Argentina,South America,2022-05-04 00:00:00,SST,Hermione Stormes,Delayed
Naples International Airport,Italy,Europe,2022-10-18 00:00:00,NAP,Angelia Chidler,Cancelled
Dortmund Airport,Germany,Europe,2022-03-30 00:00:00,DTM,Bernita Gowanlock,Delayed
Sanday Airport,United Kingdom,Europe,2022-12-01 00:00:00,NDY,Elayne MacIlriach,On Time
Latina Air Base,Italy,Europe,2022-05-25 00:00:00,QLT,Saleem Brusby,Delayed
Taranto-Grottaglie Marcello Arlotta Airport,Italy,Europe,2022-05-02 00:00:00,TAR,Zerk Golsthorp,Cancelled
Böblingen Flugfeld,Germany,Europe,2022-05-21 00:00:00,PHM,Gloriana Maystone,Cancelled
Fleetlands Heliport,United Kingdom,Europe,2022-02-27 00:00:00,PME,Korey Cristofolo,Delayed
Lázaro Cárdenas Airport,Mexico,North America,2022-12-13 00:00:00,LZC,Nanon Hestrop,Cancelled
Bahía de los Ángeles Airport,Mexico,North America,2022-06-17 00:00:00,BHL,Gale Stops,Cancelled
Bembridge Airport,United Kingdom,Europe,2022-11-30 00:00:00,BBP,Calli Vaillant,Delayed
General Rafael Buelna International Airport,Mexico,North America,2022-03-11 00:00:00,MZT,Daniela Habble,On Time
Ciudad Mante National Airport,Mexico,North America,2022-11-25 00:00:00,MMC,Allen Valasek,Delayed
Gloucestershire Airport,United Kingdom,Europe,2022-06-15 00:00:00,GLO,Alf Favill,Cancelled
Southampton Airport,United Kingdom,Europe,2022-07-13 00:00:00,SOU,Sunshine Meadway,Delayed
Fürstenfeldbruck Air Base,Germany,Europe,2022-01-05 00:00:00,FEL,Magdalene Kennally,Cancelled
Paderborn Lippstadt Airport,Germany,Europe,2022-07-26 00:00:00,PAD,Bari MacGahy,Delayed
General Francisco J. Mujica International Airport,Mexico,North America,2022-03-03 00:00:00,MLM,Bink Longo,Cancelled
Vincenzo Florio Airport Trapani-Birgi,Italy,Europe,2022-09-21 00:00:00,TPS,Adela Farrington,Cancelled
Pablo L. Sidar Airport,Mexico,North America,2022-10-01 00:00:00,AZG,Allister Frostdicke,Cancelled
London Stansted Airport,United Kingdom,Europe,2022-05-26 00:00:00,STN,Lorin Donn,On Time
Memmingen Allgau Airport,Germany,Europe,2022-05-18 00:00:00,FMM,Hank Cutsforth,Cancelled
RAF Cottesmore,United Kingdom,Europe,2022-06-19 00:00:00,OKH,Stanwood Fibbitts,On Time
Leipzig/Halle Airport,Germany,Europe,2022-05-06 00:00:00,LEJ,Alick Sotheron,On Time
Perito Moreno Airport,Argentina,South America,2022-05-12 00:00:00,PMQ,Junia Flegg,Delayed
Olavarria Airport,Argentina,South America,2022-06-27 00:00:00,OVR,Christabel Bunclark,Delayed
Ciudad Obregón International Airport,Mexico,North America,2022-06-01 00:00:00,CEN,Lily Bussell,On Time
London Gatwick Airport,United Kingdom,Europe,2022-09-15 00:00:00,LGW,Carita Towndrow,Cancelled
Chichen Itza International Airport,Mexico,North America,2022-06-30 00:00:00,CZA,Valli Harmes,Delayed
Karlsruhe Baden-Baden Airport,Germany,Europe,2022-05-05 00:00:00,FKB,Faina Zoane,On Time
General Juan N Alvarez International Airport,Mexico,North America,2022-09-13 00:00:00,ACA,Susana Stobie,On Time
Nogales International Airport,Mexico,North America,2022-03-08 00:00:00,NOG,Hayyim Cranke,Delayed
Decimomannu Air Base,Italy,Europe,2022-06-27 00:00:00,DCI,Beatriz Benfield,On Time
Del Bajío International Airport,Mexico,North America,2022-01-11 00:00:00,BJX,Iolande MacAfee,Cancelled
Aviano Air Base,Italy,Europe,2022-01-02 00:00:00,AVB,Hercules Guitt,Delayed
Coll Airport,United Kingdom,Europe,2022-12-10 00:00:00,COL,Cordy Kinkead,Delayed
Playa del Carmen Airport,Mexico,North America,2022-02-08 00:00:00,PCM,Frederik Margrie,Delayed
Southampton Airport,United Kingdom,Europe,2022-01-07 00:00:00,SOU,Maurizio Waldie,Cancelled
Marina Di Campo Airport,Italy,Europe,2022-06-10 00:00:00,EBA,Deva Impett,Cancelled
General Ignacio P. Garcia International Airport,Mexico,North America,2022-03-19 00:00:00,HMO,Cletus Potten,On Time
Presidente Peron Airport,Argentina,South America,2022-01-13 00:00:00,NQN,Gaston Riddle,Cancelled
Álamos Airport,Mexico,North America,2022-11-05 00:00:00,XAL,Bertha Iskowitz,On Time
Gobernador Castello Airport,Argentina,South America,2022-01-12 00:00:00,VDM,Wynnie Achrameev,On Time
Manchester Airport,United Kingdom,Europe,2022-10-07 00:00:00,MAN,Nyssa Lafuente,Delayed
Stuttgart Airport,Germany,Europe,2022-05-21 00:00:00,STR,Artur Siman,Delayed
Emden Airport,Germany,Europe,2022-10-27 00:00:00,EME,Mina Dedrick,Cancelled
Hoy/Longhope Airfield,United Kingdom,Europe,2022-09-22 00:00:00,HOY,Ebenezer Blazeby,Cancelled
Comodoro Pierrestegui Airport,Argentina,South America,2022-11-05 00:00:00,COC,Abbey Coleiro,Cancelled
Santa Cruz Airport,Argentina,South America,2022-12-13 00:00:00,RZA,Chrisse Woehler,Delayed
Blackbushe Airport,United Kingdom,Europe,2022-05-08 00:00:00,BBS,Cristine Minghetti,Delayed
San Luis Río Colorado Airport,Mexico,North America,2022-11-11 00:00:00,UAC,Gill Lantaff,On Time
General Enrique Mosconi Airport,Argentina,South America,2022-04-04 00:00:00,TTG,Lilia Braidon,Delayed
Ponciano Arriaga International Airport,Mexico,North America,2022-10-28 00:00:00,SLP,Yoshi Yorkston,Cancelled
Santa Rosa Airport,Argentina,South America,2022-10-12 00:00:00,RSA,Maiga Boorer,Delayed
Carmen De Patagones Airport,Argentina,South America,2022-01-10 00:00:00,CPG,Shell Heppenspall,Delayed
Corrientes Airport,Argentina,South America,2022-09-01 00:00:00,CNQ,Demetris Campes,Cancelled
Coll Airport,United Kingdom,Europe,2022-09-28 00:00:00,COL,Dannie Syrad,Cancelled
RAF Marham,United Kingdom,Europe,2022-12-09 00:00:00,KNF,Carmine Reilinger,Cancelled
La Cumbre Airport,Argentina,South America,2022-03-03 00:00:00,LCM,Orlando Heister,Cancelled
General Abelardo L. Rodríguez International Airport,Mexico,North America,2022-09-28 00:00:00,TIJ,Mareah Sanches,Delayed
Francisco Sarabia International Airport,Mexico,North America,2022-10-14 00:00:00,TRC,Chelsey Cripin,On Time
Plan De Guadalupe International Airport,Mexico,North America,2022-09-17 00:00:00,SLW,Ramon Godsal,Delayed
Verona Villafranca Airport,Italy,Europe,2022-03-31 00:00:00,VRN,Jennifer Lambarton,Delayed
Alferez Armando Rodriguez Airport,Argentina,South America,2022-11-27 00:00:00,LLS,Sharai Drepp,Delayed
Nuremberg Airport,Germany,Europe,2022-07-03 00:00:00,NUE,Angelique Garvin,Delayed
Sarzana-Luni Air Base,Italy,Europe,2022-11-25 00:00:00,QLP,Hirsch Do Rosario,Cancelled
Zapala Airport,Argentina,South America,2022-01-03 00:00:00,APZ,Juana Adao,Cancelled
Essen Mulheim Airport,Germany,Europe,2022-06-27 00:00:00,ESS,Jackqueline Gruszczak,Cancelled
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-02-13 00:00:00,PVR,Forbes Cranton,On Time
Sunchales Aeroclub Airport,Argentina,South America,2022-09-20 00:00:00,NCJ,Phillipe Spencock,Cancelled
Saenz Peña Airport,Argentina,South America,2022-07-27 00:00:00,SZQ,Kim Hegarty,Cancelled
Riesa-Göhlis Airport,Germany,Europe,2022-12-13 00:00:00,IES,Norrie Warwicker,Delayed
General Rafael Buelna International Airport,Mexico,North America,2022-05-06 00:00:00,MZT,Thaxter Domone,Cancelled
Dornoch Airfield,United Kingdom,Europe,2022-01-28 00:00:00,DOC,Salmon Hussell,Delayed
General Rafael Buelna International Airport,Mexico,North America,2022-09-08 00:00:00,MZT,Aubry Chantrell,Delayed
Cologne Bonn Airport,Germany,Europe,2022-02-06 00:00:00,CGN,Tiff Breinlein,On Time
Malpensa International Airport,Italy,Europe,2022-12-20 00:00:00,MXP,Linnie Coggan,Delayed
Hamburg Airport,Germany,Europe,2022-02-02 00:00:00,HAM,Georgi Dearsley,Delayed
Piedras Negras International Airport,Mexico,North America,2022-01-25 00:00:00,PDS,Ole Brandt,Delayed
Hamburg-Finkenwerder Airport,Germany,Europe,2022-07-20 00:00:00,XFW,Carver Ellice,On Time
Treviso-Sant'Angelo Airport,Italy,Europe,2022-07-19 00:00:00,TSF,Shurlocke Garioch,On Time
RAF Akrotiri,United Kingdom,Europe,2022-10-02 00:00:00,AKT,Catharina Nind,Cancelled
28 de Noviembre Airport,Argentina,South America,2022-12-05 00:00:00,RYO,Livy Klishin,On Time
General Pedro Jose Mendez International Airport,Mexico,North America,2022-01-03 00:00:00,CVM,Renard Dorant,On Time
General Enrique Mosconi Airport,Argentina,South America,2022-04-02 00:00:00,TTG,Budd Clymer,On Time
Bonn-Hangelar Airport,Germany,Europe,2022-05-30 00:00:00,BNJ,Brianne Duggon,On Time
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-05-28 00:00:00,PVR,Ardella Plastow,On Time
Mannheim-City Airport,Germany,Europe,2022-07-05 00:00:00,MHG,Livvyy Goldwater,On Time
Cutral-Co Airport,Argentina,South America,2022-11-27 00:00:00,CUT,Rutter Marwick,On Time
Varrelbusch Airport,Germany,Europe,2022-05-27 00:00:00,VAC,Madeline Folkerts,On Time
Nuevo Casas Grandes Airport,Mexico,North America,2022-01-28 00:00:00,NCG,Viola Rowlson,On Time
Ástor Piazzola International Airport,Argentina,South America,2022-12-17 00:00:00,MDQ,Worthington Corneck,Delayed
Aosta Airport,Italy,Europe,2022-08-19 00:00:00,AOT,Stu Pomroy,Delayed
Heringsdorf Airport,Germany,Europe,2022-06-09 00:00:00,HDF,Caro Ditts,On Time
Redhill Aerodrome,United Kingdom,Europe,2022-06-17 00:00:00,KRH,Bart Mingay,Delayed
Durham Tees Valley Airport,United Kingdom,Europe,2022-01-02 00:00:00,MME,Modestia Cleare,Delayed
Vincenzo Florio Airport Trapani-Birgi,Italy,Europe,2022-05-12 00:00:00,TPS,Shaw Beggan,Delayed
Chos Malal Airport,Argentina,South America,2022-03-21 00:00:00,HOS,Demetra Toope,Delayed
Ixtapa Zihuatanejo International Airport,Mexico,North America,2022-05-17 00:00:00,ZIH,Pippo Rich,Cancelled
Bristol Filton Airport,United Kingdom,Europe,2022-03-10 00:00:00,FZO,Alyce Stolze,Cancelled
Norwich International Airport,United Kingdom,Europe,2022-11-23 00:00:00,NWI,Noni Pinnick,Delayed
Curuzu Cuatia Airport,Argentina,South America,2022-03-13 00:00:00,UZU,Felecia Jantzen,Cancelled
Lázaro Cárdenas Airport,Mexico,North America,2022-12-12 00:00:00,LZC,Ellwood Towe,Cancelled
Punta Chivato Airport,Mexico,North America,2022-12-15 00:00:00,PCV,Doug Merioth,Delayed
Genoa Cristoforo Colombo Airport,Italy,Europe,2022-09-04 00:00:00,GOA,Eldon Dener,On Time
Böblingen Flugfeld,Germany,Europe,2022-07-16 00:00:00,PHM,Ker Eborall,On Time
General Pedro Jose Mendez International Airport,Mexico,North America,2022-07-30 00:00:00,CVM,Wallis Kenney,On Time
RAF Akrotiri,United Kingdom,Europe,2022-05-02 00:00:00,AKT,Christin Dorcey,Delayed
Rincon De Los Sauces Airport,Argentina,South America,2022-08-26 00:00:00,RDS,Lilllie Mundy,On Time
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-08-01 00:00:00,PVR,Pincus Tale,Delayed
Cancún International Airport,Mexico,North America,2022-04-28 00:00:00,CUN,Marlene Berthon,Delayed
Lago Argentino Airport,Argentina,South America,2022-05-14 00:00:00,ING,Manfred Shardlow,Delayed
Köthen Airport,Germany,Europe,2022-05-23 00:00:00,KOQ,Birk Sanbrook,Cancelled
Wangerooge Airport,Germany,Europe,2022-09-23 00:00:00,AGE,Vinson De Vaar,On Time
Benbecula Airport,United Kingdom,Europe,2022-09-27 00:00:00,BEB,Margaretha Chazotte,Cancelled
Piedras Negras International Airport,Mexico,North America,2022-06-30 00:00:00,PDS,Kylila Vossgen,Delayed
Venice Marco Polo Airport,Italy,Europe,2022-11-11 00:00:00,VCE,Karel Messom,Cancelled
General Villegas Airport,Argentina,South America,2022-05-06 00:00:00,VGS,Vida Mulrenan,Delayed
Böblingen Flugfeld,Germany,Europe,2022-01-06 00:00:00,PHM,Michaeline Sorel,Delayed
Schwerin Parchim Airport,Germany,Europe,2022-07-08 00:00:00,SZW,Lenna Diver,Delayed
Ixtapa Zihuatanejo International Airport,Mexico,North America,2022-10-01 00:00:00,ZIH,Mignonne Tindley,On Time
Grosseto Air Base,Italy,Europe,2022-10-11 00:00:00,GRS,Demetris Mitkin,On Time
Cataratas Del Iguazú International Airport,Argentina,South America,2022-06-16 00:00:00,IGR,Dannie Housley,Delayed
Manchester Airport,United Kingdom,Europe,2022-11-13 00:00:00,MAN,Saudra Carmo,On Time
Lasham Airport,United Kingdom,Europe,2022-12-02 00:00:00,QLA,Livvie Elsby,Cancelled
Stornoway Airport,United Kingdom,Europe,2022-11-14 00:00:00,SYY,Avictor Fordyce,On Time
San Luis Río Colorado Airport,Mexico,North America,2022-04-09 00:00:00,UAC,Analiese Hunnaball,Cancelled
Quetzalcóatl International Airport,Mexico,North America,2022-05-30 00:00:00,NLD,Tyler Roseveare,Delayed
Tehuacan Airport,Mexico,North America,2022-09-27 00:00:00,TCN,Fidelio Simukov,Cancelled
Rio Mayo Airport,Argentina,South America,2022-10-08 00:00:00,ROY,Arnaldo Lilywhite,Cancelled
Comiso Airport,Italy,Europe,2022-02-15 00:00:00,CIY,Myrta Broodes,On Time
Licenciado Benito Juarez International Airport,Mexico,North America,2022-10-13 00:00:00,MEX,Abbott Tweedlie,Delayed
Hof-Plauen Airport,Germany,Europe,2022-09-07 00:00:00,HOQ,Kiley Mockes,On Time
Fetlar Airport,United Kingdom,Europe,2022-03-18 00:00:00,FEA,Pammy Joye,Cancelled
General Mariano Matamoros Airport,Mexico,North America,2022-10-23 00:00:00,CVJ,Ezequiel Girardy,On Time
Aberdeen Dyce Airport,United Kingdom,Europe,2022-03-31 00:00:00,ABZ,Raf Wooder,On Time
Münster Osnabrück Airport,Germany,Europe,2022-10-19 00:00:00,FMO,Carlie Cleator,Cancelled
Catania-Fontanarossa Airport,Italy,Europe,2022-01-01 00:00:00,CTA,Kimberlyn Trinkwon,On Time
Emden Airport,Germany,Europe,2022-02-21 00:00:00,EME,Jarrod Towse,Cancelled
Fleetlands Heliport,United Kingdom,Europe,2022-05-11 00:00:00,PME,Archer Cahill,On Time
Berlin-Tegel Airport,Germany,Europe,2022-06-09 00:00:00,TXL,Sidoney Swabey,Cancelled
General Heriberto Jara International Airport,Mexico,North America,2022-03-13 00:00:00,VER,Rodge Peggrem,Cancelled
Pablo L. Sidar Airport,Mexico,North America,2022-06-30 00:00:00,AZG,Elijah Blakes,Delayed
Fetlar Airport,United Kingdom,Europe,2022-10-13 00:00:00,FEA,Alyssa Cowlin,Delayed
Villa Reynolds Airport,Argentina,South America,2022-01-20 00:00:00,VME,Jermain Mattessen,On Time
Grosseto Air Base,Italy,Europe,2022-05-23 00:00:00,GRS,Camila Brown,On Time
