airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status,germany_latitude,germany_longitude,argentina_latitude,argentina_longitude,mexico_latitude,mexico_longitude,uk_latitude,uk_longitude,italy_latitude,italy_longitude
Pablo L. Sidar Airport,Mexico,North America,2022-10-01 00:00:00,AZG,Allister Frostdicke,Cancelled,,,,,19.602800,-102.371700,,,,
London Stansted Airport,United Kingdom,Europe,2022-05-26 00:00:00,STN,Lorin Donn,On Time,,,,,,,51.884700,0.235200,,
Memmingen Allgau Airport,Germany,Europe,2022-05-18 00:00:00,FMM,Hank Cutsforth,Cancelled,47.988800,10.239500,,,,,,,,
RAF Cottesmore,United Kingdom,Europe,2022-06-19 00:00:00,OKH,Stanwood Fibbitts,On Time,,,,,,,52.736000,-0.648000,,
Leipzig/Halle Airport,Germany,Europe,2022-05-06 00:00:00,LEJ,Alick Sotheron,On Time,51.423900,12.236400,,,,,,,,
Perito Moreno Airport,Argentina,South America,2022-05-12 00:00:00,PMQ,Junia Flegg,Delayed,,,-46.537900,-70.978700,,,,,,
Olavarria Airport,Argentina,South America,2022-06-27 00:00:00,OVR,Christabel Bunclark,Delayed,,,-36.889900,-60.216800,,,,,,
Ciudad Obregón International Airport,Mexico,North America,2022-06-01 00:00:00,CEN,Lily Bussell,On Time,,,,,27.392600,-109.833000,,,,
London Gatwick Airport,United Kingdom,Europe,2022-09-15 00:00:00,LGW,Carita Towndrow,Cancelled,,,,,,,51.153700,-0.182100,,
Chichen Itza International Airport,Mexico,North America,2022-06-30 00:00:00,CZA,Valli Harmes,Delayed,,,,,20.641300,-88.446200,,,,
Karlsruhe Baden-Baden Airport,Germany,Europe,2022-05-05 00:00:00,FKB,Faina Zoane,On Time,48.779400,8.080500,,,,,,,,
General Juan N Alvarez International Airport,Mexico,North America,2022-09-13 00:00:00,ACA,Susana Stobie,On Time,,,,,,,,,,
Nogales International Airport,Mexico,North America,2022-03-08 00:00:00,NOG,Hayyim Cranke,Delayed,,,,,,,,,,
Decimomannu Air Base,Italy,Europe,2022-06-27 00:00:00,DCI,Beatriz Benfield,On Time,,,,,,,,,39.354200,8.972500
Del Bajío International Airport,Mexico,North America,2022-01-11 00:00:00,BJX,Iolande MacAfee,Cancelled,,,,,20.993500,-101.481000,,,,
Aviano Air Base,Italy,Europe,2022-01-02 00:00:00,AVB,Hercules Guitt,Delayed,,,,,,,,,46.031900,12.596500
Coll Airport,United Kingdom,Europe,2022-12-10 00:00:00,COL,Cordy Kinkead,Delayed,,,,,,,56.634100,-6.619200,,
Playa del Carmen Airport,Mexico,North America,2022-02-08 00:00:00,PCM,Frederik Margrie,Delayed,,,,,20.622100,-87.082000,,,,
Southampton Airport,United Kingdom,Europe,2022-01-07 00:00:00,SOU,Maurizio Waldie,Cancelled,,,,,,,50.950300,-1.356800,,
Marina Di Campo Airport,Italy,Europe,2022-06-10 00:00:00,EBA,Deva Impett,Cancelled,,,,,,,,,42.760277,10.239445
General Ignacio P. Garcia International Airport,Mexico,North America,2022-03-19 00:00:00,HMO,Cletus Potten,On Time,,,,,29.095900,-111.047900,,,,
Presidente Peron Airport,Argentina,South America,2022-01-13 00:00:00,NQN,Gaston Riddle,Cancelled,,,-38.949000,-68.155700,,,,,,
Álamos Airport,Mexico,North America,2022-11-05 00:00:00,XAL,Bertha Iskowitz,On Time,,,,,21.419500,-97.791600,,,,
Gobernador Castello Airport,Argentina,South America,2022-01-12 00:00:00,VDM,Wynnie Achrameev,On Time,,,-40.869200,-63.000400,,,,,,
Manchester Airport,United Kingdom,Europe,2022-10-07 00:00:00,MAN,Nyssa Lafuente,Delayed,,,,,,,53.365700,-2.272980,,
Stuttgart Airport,Germany,Europe,2022-05-21 00:00:00,STR,Artur Siman,Delayed,48.690800,9.221600,,,,,,,,
Emden Airport,Germany,Europe,2022-10-27 00:00:00,EME,Mina Dedrick,Cancelled,53.391300,7.227400,,,,,,,,
Hoy/Longhope Airfield,United Kingdom,Europe,2022-09-22 00:00:00,HOY,Ebenezer Blazeby,Cancelled,,,,,,,58.827800,-3.279200,,
Comodoro Pierrestegui Airport,Argentina,South America,2022-11-05 00:00:00,COC,Abbey Coleiro,Cancelled,,,-31.296900,-58.078300,,,,,,
Santa Cruz Airport,Argentina,South America,2022-12-13 00:00:00,RZA,Chrisse Woehler,Delayed,,,-50.016500,-68.579200,,,,,,
Blackbushe Airport,United Kingdom,Europe,2022-05-08 00:00:00,BBS,Cristine Minghetti,Delayed,,,,,,,51.323900,-0.847200,,
San Luis Río Colorado Airport,Mexico,North America,2022-11-11 00:00:00,UAC,Gill Lantaff,On Time,,,,,32.446600,-114.803900,,,,
General Enrique Mosconi Airport,Argentina,South America,2022-04-04 00:00:00,TTG,Lilia Braidon,Delayed,,,-22.619200,-63.793700,,,,,,
Ponciano Arriaga International Airport,Mexico,North America,2022-10-28 00:00:00,SLP,Yoshi Yorkston,Cancelled,,,,,22.254300,-100.930800,,,,
Santa Rosa Airport,Argentina,South America,2022-10-12 00:00:00,RSA,Maiga Boorer,Delayed,,,-36.588900,-64.275700,,,,,,
Carmen De Patagones Airport,Argentina,South America,2022-01-10 00:00:00,CPG,Shell Heppenspall,Delayed,,,-40.782200,-62.981700,,,,,,
Corrientes Airport,Argentina,South America,2022-09-01 00:00:00,CNQ,Demetris Campes,Cancelled,,,-27.445500,-58.761900,,,,,,
Coll Airport,United Kingdom,Europe,2022-09-28 00:00:00,COL,Dannie Syrad,Cancelled,,,,,,,56.634100,-6.619200,,
RAF Marham,United Kingdom,Europe,2022-12-09 00:00:00,KNF,Carmine Reilinger,Cancelled,,,,,,,52.648400,0.550700,,
La Cumbre Airport,Argentina,South America,2022-03-03 00:00:00,LCM,Orlando Heister,Cancelled,,,-31.011000,-64.532300,,,,,,
General Abelardo L. Rodríguez International Airport,Mexico,North America,2022-09-28 00:00:00,TIJ,Mareah Sanches,Delayed,,,,,32.541100,-116.970300,,,,
Francisco Sarabia International Airport,Mexico,North America,2022-10-14 00:00:00,TRC,Chelsey Cripin,On Time,,,,,25.568300,-103.410600,,,,
Plan De Guadalupe International Airport,Mexico,North America,2022-09-17 00:00:00,SLW,Ramon Godsal,Delayed,,,,,,,,,,
Verona Villafranca Airport,Italy,Europe,2022-03-31 00:00:00,VRN,Jennifer Lambarton,Delayed,,,,,,,,,45.395700,10.888500
Alferez Armando Rodriguez Airport,Argentina,South America,2022-11-27 00:00:00,LLS,Sharai Drepp,Delayed,,,-24.721100,-60.548800,,,,,,
Nuremberg Airport,Germany,Europe,2022-07-03 00:00:00,NUE,Angelique Garvin,Delayed,49.498700,11.066900,,,,,,,,
Sarzana-Luni Air Base,Italy,Europe,2022-11-25 00:00:00,QLP,Hirsch Do Rosario,Cancelled,,,,,,,,,42.379900,13.309400
Zapala Airport,Argentina,South America,2022-01-03 00:00:00,APZ,Juana Adao,Cancelled,,,-38.975500,-70.113600,,,,,,
Essen Mulheim Airport,Germany,Europe,2022-06-27 00:00:00,ESS,Jackqueline Gruszczak,Cancelled,51.402300,6.937300,,,,,,,,
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-02-13 00:00:00,PVR,Forbes Cranton,On Time,,,,,20.680100,-105.254200,,,,
Sunchales Aeroclub Airport,Argentina,South America,2022-09-20 00:00:00,NCJ,Phillipe Spencock,Cancelled,,,-30.892500,-61.896900,,,,,,
Saenz Peña Airport,Argentina,South America,2022-07-27 00:00:00,SZQ,Kim Hegarty,Cancelled,,,-26.799600,-60.493200,,,,,,
Riesa-Göhlis Airport,Germany,Europe,2022-12-13 00:00:00,IES,Norrie Warwicker,Delayed,51.293600,13.356100,,,,,,,,
General Rafael Buelna International Airport,Mexico,North America,2022-05-06 00:00:00,MZT,Thaxter Domone,Cancelled,,,,,23.161100,-106.266000,,,,
Dornoch Airfield,United Kingdom,Europe,2022-01-28 00:00:00,DOC,Salmon Hussell,Delayed,,,,,,,53.480500,-1.010600,,
General Rafael Buelna International Airport,Mexico,North America,2022-09-08 00:00:00,MZT,Aubry Chantrell,Delayed,,,,,23.161100,-106.266000,,,,
Cologne Bonn Airport,Germany,Europe,2022-02-06 00:00:00,CGN,Tiff Breinlein,On Time,50.865900,7.142700,,,,,,,,
Malpensa International Airport,Italy,Europe,2022-12-20 00:00:00,MXP,Linnie Coggan,Delayed,,,,,,,,,45.630600,8.728100
Hamburg Airport,Germany,Europe,2022-02-02 00:00:00,HAM,Georgi Dearsley,Delayed,53.630400,9.988200,,,,,,,,
Piedras Negras International Airport,Mexico,North America,2022-01-25 00:00:00,PDS,Ole Brandt,Delayed,,,,,28.627400,-100.535200,,,,
Hamburg-Finkenwerder Airport,Germany,Europe,2022-07-20 00:00:00,XFW,Carver Ellice,On Time,53.533500,9.837200,,,,,,,,
Treviso-Sant'Angelo Airport,Italy,Europe,2022-07-19 00:00:00,TSF,Shurlocke Garioch,On Time,,,,,,,,,45.648400,12.194400
RAF Akrotiri,United Kingdom,Europe,2022-10-02 00:00:00,AKT,Catharina Nind,Cancelled,,,,,,,34.590400,32.987900,,
28 de Noviembre Airport,Argentina,South America,2022-12-05 00:00:00,RYO,Livy Klishin,On Time,,,-35.166700,-70.133300,,,,,,
General Pedro Jose Mendez International Airport,Mexico,North America,2022-01-03 00:00:00,CVM,Renard Dorant,On Time,,,,,23.703300,-98.956400,,,,
General Enrique Mosconi Airport,Argentina,South America,2022-04-02 00:00:00,TTG,Budd Clymer,On Time,,,-22.619200,-63.793700,,,,,,
Bonn-Hangelar Airport,Germany,Europe,2022-05-30 00:00:00,BNJ,Brianne Duggon,On Time,50.768900,7.163300,,,,,,,,
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-05-28 00:00:00,PVR,Ardella Plastow,On Time,,,,,20.680100,-105.254200,,,,
Mannheim-City Airport,Germany,Europe,2022-07-05 00:00:00,MHG,Livvyy Goldwater,On Time,49.472700,8.514300,,,,,,,,
Cutral-Co Airport,Argentina,South America,2022-11-27 00:00:00,CUT,Rutter Marwick,On Time,,,-38.939700,-69.264700,,,,,,
Varrelbusch Airport,Germany,Europe,2022-05-27 00:00:00,VAC,Madeline Folkerts,On Time,52.926900,7.790300,,,,,,,,
Nuevo Casas Grandes Airport,Mexico,North America,2022-01-28 00:00:00,NCG,Viola Rowlson,On Time,,,,,30.397400,-107.874700,,,,
Ástor Piazzola International Airport,Argentina,South America,2022-12-17 00:00:00,MDQ,Worthington Corneck,Delayed,,,-37.934200,-57.573300,,,,,,
Aosta Airport,Italy,Europe,2022-08-19 00:00:00,AOT,Stu Pomroy,Delayed,,,,,,,,,45.738500,7.368300
Heringsdorf Airport,Germany,Europe,2022-06-09 00:00:00,HDF,Caro Ditts,On Time,53.878700,14.152300,,,,,,,,
Redhill Aerodrome,United Kingdom,Europe,2022-06-17 00:00:00,KRH,Bart Mingay,Delayed,,,,,,,51.213500,-0.138800,,
Durham Tees Valley Airport,United Kingdom,Europe,2022-01-02 00:00:00,MME,Modestia Cleare,Delayed,,,,,,,54.509200,-1.429400,,
Vincenzo Florio Airport Trapani-Birgi,Italy,Europe,2022-05-12 00:00:00,TPS,Shaw Beggan,Delayed,,,,,,,,,37.911200,12.487700
Chos Malal Airport,Argentina,South America,2022-03-21 00:00:00,HOS,Demetra Toope,Delayed,,,-37.444600,-70.222500,,,,,,
Ixtapa Zihuatanejo International Airport,Mexico,North America,2022-05-17 00:00:00,ZIH,Pippo Rich,Cancelled,,,,,17.601600,-101.460500,,,,
Bristol Filton Airport,United Kingdom,Europe,2022-03-10 00:00:00,FZO,Alyce Stolze,Cancelled,,,,,,,51.519400,-2.590800,,
Norwich International Airport,United Kingdom,Europe,2022-11-23 00:00:00,NWI,Noni Pinnick,Delayed,,,,,,,52.675800,1.282800,,
Curuzu Cuatia Airport,Argentina,South America,2022-03-13 00:00:00,UZU,Felecia Jantzen,Cancelled,,,-29.770600,-58.281900,,,,,,
Lázaro Cárdenas Airport,Mexico,North America,2022-12-12 00:00:00,LZC,Ellwood Towe,Cancelled,,,,,18.001600,-102.220500,,,,
Punta Chivato Airport,Mexico,North America,2022-12-15 00:00:00,PCV,Doug Merioth,Delayed,,,,,26.996700,-111.848300,,,,
Genoa Cristoforo Colombo Airport,Italy,Europe,2022-09-04 00:00:00,GOA,Eldon Dener,On Time,,,,,,,,,44.413300,8.837600
Böblingen Flugfeld,Germany,Europe,2022-07-16 00:00:00,PHM,Ker Eborall,On Time,54.158300,13.767200,,,,,,,,
General Pedro Jose Mendez International Airport,Mexico,North America,2022-07-30 00:00:00,CVM,Wallis Kenney,On Time,,,,,23.703300,-98.956400,,,,
RAF Akrotiri,United Kingdom,Europe,2022-05-02 00:00:00,AKT,Christin Dorcey,Delayed,,,,,,,34.590400,32.987900,,
Rincon De Los Sauces Airport,Argentina,South America,2022-08-26 00:00:00,RDS,Lilllie Mundy,On Time,,,-37.390700,-68.904200,,,,,,
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-08-01 00:00:00,PVR,Pincus Tale,Delayed,,,,,20.680100,-105.254200,,,,
Cancún International Airport,Mexico,North America,2022-04-28 00:00:00,CUN,Marlene Berthon,Delayed,,,,,21.036500,-86.877100,,,,
Lago Argentino Airport,Argentina,South America,2022-05-14 00:00:00,ING,Manfred Shardlow,Delayed,,,-50.336900,-72.248600,,,,,,
Köthen Airport,Germany,Europe,2022-05-23 00:00:00,KOQ,Birk Sanbrook,Cancelled,51.856400,11.419200,,,,,,,,
Wangerooge Airport,Germany,Europe,2022-09-23 00:00:00,AGE,Vinson De Vaar,On Time,53.782800,7.913300,,,,,,,,
Benbecula Airport,United Kingdom,Europe,2022-09-27 00:00:00,BEB,Margaretha Chazotte,Cancelled,,,,,,,57.481100,-7.362800,,
Piedras Negras International Airport,Mexico,North America,2022-06-30 00:00:00,PDS,Kylila Vossgen,Delayed,,,,,28.627400,-100.535200,,,,
Venice Marco Polo Airport,Italy,Europe,2022-11-11 00:00:00,VCE,Karel Messom,Cancelled,,,,,,,,,45.505300,12.340300
General Villegas Airport,Argentina,South America,2022-05-06 00:00:00,VGS,Vida Mulrenan,Delayed,,,-35.122300,-63.257200,,,,,,
Böblingen Flugfeld,Germany,Europe,2022-01-06 00:00:00,PHM,Michaeline Sorel,Delayed,54.158300,13.767200,,,,,,,,
Schwerin Parchim Airport,Germany,Europe,2022-07-08 00:00:00,SZW,Lenna Diver,Delayed,53.426000,11.783400,,,,,,,,
Ixtapa Zihuatanejo International Airport,Mexico,North America,2022-10-01 00:00:00,ZIH,Mignonne Tindley,On Time,,,,,17.601600,-101.460500,,,,
Grosseto Air Base,Italy,Europe,2022-10-11 00:00:00,GRS,Demetris Mitkin,On Time,,,,,,,,,42.760300,11.071200
Cataratas Del Iguazú International Airport,Argentina,South America,2022-06-16 00:00:00,IGR,Dannie Housley,Delayed,,,-25.737300,-54.473400,,,,,,
Manchester Airport,United Kingdom,Europe,2022-11-13 00:00:00,MAN,Saudra Carmo,On Time,,,,,,,53.365700,-2.272980,,
Lasham Airport,United Kingdom,Europe,2022-12-02 00:00:00,QLA,Livvie Elsby,Cancelled,,,,,,,51.187200,-1.033500,,
Stornoway Airport,United Kingdom,Europe,2022-11-14 00:00:00,SYY,Avictor Fordyce,On Time,,,,,,,58.215600,-6.331100,,
San Luis Río Colorado Airport,Mexico,North America,2022-04-09 00:00:00,UAC,Analiese Hunnaball,Cancelled,,,,,32.446600,-114.803900,,,,
Quetzalcóatl International Airport,Mexico,North America,2022-05-30 00:00:00,NLD,Tyler Roseveare,Delayed,,,,,27.443100,-99.570500,,,,
Tehuacan Airport,Mexico,North America,2022-09-27 00:00:00,TCN,Fidelio Simukov,Cancelled,,,,,18.497200,-97.419900,,,,
Rio Mayo Airport,Argentina,South America,2022-10-08 00:00:00,ROY,Arnaldo Lilywhite,Cancelled,,,-45.703300,-70.247300,,,,,,
Comiso Airport,Italy,Europe,2022-02-15 00:00:00,CIY,Myrta Broodes,On Time,,,,,,,,,36.994600,14.607900
Licenciado Benito Juarez International Airport,Mexico,North America,2022-10-13 00:00:00,MEX,Abbott Tweedlie,Delayed,,,,,19.436300,-99.072100,,,,
Hof-Plauen Airport,Germany,Europe,2022-09-07 00:00:00,HOQ,Kiley Mockes,On Time,50.288000,11.856400,,,,,,,,
Fetlar Airport,United Kingdom,Europe,2022-03-18 00:00:00,FEA,Pammy Joye,Cancelled,,,,,,,60.587200,-0.900000,,
General Mariano Matamoros Airport,Mexico,North America,2022-10-23 00:00:00,CVJ,Ezequiel Girardy,On Time,,,,,,,,,,
Aberdeen Dyce Airport,United Kingdom,Europe,2022-03-31 00:00:00,ABZ,Raf Wooder,On Time,,,,,,,57.201900,-2.197800,,
Münster Osnabrück Airport,Germany,Europe,2022-10-19 00:00:00,FMO,Carlie Cleator,Cancelled,52.134600,7.684800,,,,,,,,
Catania-Fontanarossa Airport,Italy,Europe,2022-01-01 00:00:00,CTA,Kimberlyn Trinkwon,On Time,,,,,,,,,37.466800,15.066500
Emden Airport,Germany,Europe,2022-02-21 00:00:00,EME,Jarrod Towse,Cancelled,53.391300,7.227400,,,,,,,,
Fleetlands Heliport,United Kingdom,Europe,2022-05-11 00:00:00,PME,Archer Cahill,On Time,,,,,,,50.795800,-1.083300,,
Berlin-Tegel Airport,Germany,Europe,2022-06-09 00:00:00,TXL,Sidoney Swabey,Cancelled,52.559700,13.287700,,,,,,,,
General Heriberto Jara International Airport,Mexico,North America,2022-03-13 00:00:00,VER,Rodge Peggrem,Cancelled,,,,,19.145900,-96.187300,,,,
Pablo L. Sidar Airport,Mexico,North America,2022-06-30 00:00:00,AZG,Elijah Blakes,Delayed,,,,,19.602800,-102.371700,,,,
Fetlar Airport,United Kingdom,Europe,2022-10-13 00:00:00,FEA,Alyssa Cowlin,Delayed,,,,,,,60.587200,-0.900000,,
Villa Reynolds Airport,Argentina,South America,2022-01-20 00:00:00,VME,Jermain Mattessen,On Time,,,-33.729900,-65.387800,,,,,,
Grosseto Air Base,Italy,Europe,2022-05-23 00:00:00,GRS,Camila Brown,On Time,,,,,,,,,42.760300,11.071200
Carlos Rovirosa Pérez International Airport,Mexico,North America,2022-02-25 00:00:00,VSA,Dodi Greenhouse,Delayed,,,,,17.996800,-92.817400,,,,
Schwerin Parchim Airport,Germany,Europe,2022-04-22 00:00:00,SZW,Emelina Hardan,Cancelled,53.426000,11.783400,,,,,,,,
Ciudad Acuña New International Airport,Mexico,North America,2022-09-14 00:00:00,ACN,Auria Kynan,On Time,,,,,29.332900,-100.980000,,,,
Berlin-Tegel Airport,Germany,Europe,2022-09-18 00:00:00,TXL,Madelene Rossin,Cancelled,52.559700,13.287700,,,,,,,,
Langeoog Airport,Germany,Europe,2022-05-28 00:00:00,LGO,Anabal Leving,Cancelled,53.742600,7.497500,,,,,,,,
Libertador Gral D Jose De San Martin Airport,Argentina,South America,2022-09-02 00:00:00,PSS,Jo ann Cready,Delayed,,,-27.385800,-55.970700,,,,,,
General Francisco J. Mujica International Airport,Mexico,North America,2022-02-11 00:00:00,MLM,Cleopatra Goldes,Cancelled,,,,,19.849900,-101.025500,,,,
Villanova D'Albenga International Airport,Italy,Europe,2022-08-27 00:00:00,ALL,Aeriela Illsley,On Time,,,,,,,,,44.048600,8.127400
Fürstenfeldbruck Air Base,Germany,Europe,2022-09-17 00:00:00,FEL,Nomi O'Flaverty,Delayed,48.205700,11.267200,,,,,,,,
Helgoland-Düne Airport,Germany,Europe,2022-03-02 00:00:00,HGL,Wendel Tinklin,Delayed,54.185400,7.915300,,,,,,,,
Saenz Peña Airport,Argentina,South America,2022-09-30 00:00:00,SZQ,Templeton Adnams,Cancelled,,,-26.799600,-60.493200,,,,,,
Outer Skerries Airport,United Kingdom,Europe,2022-09-16 00:00:00,OUK,Bartel Orhrt,Delayed,,,,,,,55.043000,-1.682000,,
El Bolson Airport,Argentina,South America,2022-01-03 00:00:00,EHL,Vere Blanc,Cancelled,,,-41.943200,-71.532300,,,,,,
Isla Mujeres Airport,Mexico,North America,2022-04-08 00:00:00,ISJ,Coleen Le Breton,On Time,,,,,21.245000,-86.739800,,,,
Peretola Airport,Italy,Europe,2022-01-04 00:00:00,FLR,Sullivan McGlashan,On Time,,,,,,,,,43.809000,11.205100
Aachen-Merzbrück Airport,Germany,Europe,2022-07-22 00:00:00,AAH,Toni Dommett,On Time,50.823200,6.186400,,,,,,,,
Héroes De Malvinas Airport,Argentina,South America,2022-09-12 00:00:00,TDL,Dannie Brickett,Delayed,,,-37.237400,-59.227900,,,,,,
Aosta Airport,Italy,Europe,2022-12-13 00:00:00,AOT,Archambault Boller,On Time,,,,,,,,,45.738500,7.368300
Ciudad Mante National Airport,Mexico,North America,2022-06-22 00:00:00,MMC,Lorilee Arntzen,Delayed,,,,,22.768900,-99.001200,,,,
Valcheta Airport,Argentina,South America,2022-06-04 00:00:00,VCF,Rosy Frake,On Time,,,-40.701000,-66.166700,,,,,,
Hamburg-Finkenwerder Airport,Germany,Europe,2022-09-19 00:00:00,XFW,Rees Poone,On Time,53.533500,9.837200,,,,,,,,
Aberdeen Dyce Airport,United Kingdom,Europe,2022-04-20 00:00:00,ABZ,Ellis McCritchie,Delayed,,,,,,,57.201900,-2.197800,,
RAF Linton-On-Ouse,United Kingdom,Europe,2022-09-01 00:00:00,HRT,Garnet Whittlesea,Delayed,,,,,,,54.048900,-1.252800,,
RAF Wildenrath,Germany,Europe,2022-10-05 00:00:00,WID,Shannon Puve,Cancelled,51.113600,6.132800,,,,,,,,
Mönchengladbach Airport,Germany,Europe,2022-10-05 00:00:00,MGL,Florence Shugg,On Time,51.230400,6.504500,,,,,,,,
Nordholz Naval Airbase,Germany,Europe,2022-01-18 00:00:00,FCN,Alphard MacAnespie,Delayed,53.767800,8.658500,,,,,,,,
Brindisi – Salento Airport,Italy,Europe,2022-04-25 00:00:00,BDS,Elysha Tulley,Cancelled,,,,,,,,,40.657600,17.947000
Valcheta Airport,Argentina,South America,2022-10-25 00:00:00,VCF,Aeriel Alger,On Time,,,-40.701000,-66.166700,,,,,,
Comandante Espora Airport,Argentina,South America,2022-06-17 00:00:00,BHI,Armstrong Phizackerly,On Time,,,-38.725000,-62.169300,,,,,,
Heidelberg Army Helicopter Base,Germany,Europe,2022-01-02 00:00:00,HDB,Tania Merriday,On Time,49.393300,8.652500,,,,,,,,
Düsseldorf Airport,Germany,Europe,2022-07-23 00:00:00,DUS,Gabriellia Dommerque,On Time,51.289500,6.766800,,,,,,,,
Jose De San Martin Airport,Argentina,South America,2022-04-11 00:00:00,JSM,Ulrika Gladebeck,Cancelled,,,-44.048100,-70.458500,,,,,,
RAF Honington,United Kingdom,Europe,2022-07-10 00:00:00,BEQ,Bernardina Dows,Delayed,,,,,,,52.342600,0.772900,,
Swansea Airport,United Kingdom,Europe,2022-08-17 00:00:00,SWS,Skell McVicar,On Time,,,,,,,51.605300,-4.067800,,
General Rodolfo Sánchez Taboada International Airport,Mexico,North America,2022-03-10 00:00:00,MXL,Tod Baggally,On Time,,,,,32.630600,-115.241900,,,,
Taranto-Grottaglie Marcello Arlotta Airport,Italy,Europe,2022-03-27 00:00:00,TAR,Salvador Evenett,On Time,,,,,,,,,40.517500,17.403200
Taranto-Grottaglie Marcello Arlotta Airport,Italy,Europe,2022-10-11 00:00:00,TAR,Sylvester Cutmore,Delayed,,,,,,,,,40.517500,17.403200
Wangerooge Airport,Germany,Europe,2022-10-19 00:00:00,AGE,Nonah Bodimeade,Cancelled,53.782800,7.913300,,,,,,,,
Charata Airport,Argentina,South America,2022-06-19 00:00:00,CNT,Urbain Tomala,Cancelled,,,-27.218300,-61.228600,,,,,,
Riesa-Göhlis Airport,Germany,Europe,2022-09-15 00:00:00,IES,Conant Delea,Delayed,51.293600,13.356100,,,,,,,,
London Heathrow Airport,United Kingdom,Europe,2022-12-06 00:00:00,LHR,Charline Nolin,Delayed,,,,,,,51.471000,-0.456000,,
Neubrandenburg Airport,Germany,Europe,2022-04-18 00:00:00,FNB,Hubey Flintoff,Cancelled,53.602200,13.306000,,,,,,,,
Cabo F.A.A. H. R. Bordón Airport,Argentina,South America,2022-12-28 00:00:00,IGB,Abbott Gouldstone,Delayed,,,-24.185800,-65.044700,,,,,,
Abraham González International Airport,Mexico,North America,2022-03-18 00:00:00,CJS,Lynelle Balfour,On Time,,,,,,,,,,
Licenciado Manuel Crescencio Rejon Int Airport,Mexico,North America,2022-08-01 00:00:00,MID,Ynez Carpe,On Time,,,,,20.937000,-89.657700,,,,
Colonia Catriel Airport,Argentina,South America,2022-09-15 00:00:00,CCT,Leonie Signorelli,Delayed,,,-37.853500,-67.829500,,,,,,
London Heathrow Airport,United Kingdom,Europe,2022-09-03 00:00:00,LHR,Harold Varnes,Cancelled,,,,,,,51.471000,-0.456000,,
Lampedusa Airport,Italy,Europe,2022-01-01 00:00:00,LMP,Garrek Stanlake,Delayed,,,,,,,,,35.497900,12.618100
Bragado Airport,Argentina,South America,2022-02-21 00:00:00,QRF,Goldia Kleanthous,Cancelled,,,-34.729400,-58.263100,,,,,,
Flughafen München-Riem,Germany,Europe,2022-08-15 00:00:00,MUC,Caterina De Atta,Cancelled,48.353800,11.786100,,,,,,,,
Cancún International Airport,Mexico,North America,2022-04-18 00:00:00,CUN,Michael MacSharry,On Time,,,,,21.036500,-86.877100,,,,
Coll Airport,United Kingdom,Europe,2022-09-26 00:00:00,COL,Zaneta Padly,Delayed,,,,,,,56.634100,-6.619200,,
Mercedes Airport,Argentina,South America,2022-05-19 00:00:00,MDX,Tucker Maric,Cancelled,,,-28.037800,-58.767300,,,,,,
Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,South America,2022-11-13 00:00:00,SDE,Martynne Lassells,Delayed,,,-27.765600,-64.310300,,,,,,
RAF Honington,United Kingdom,Europe,2022-04-27 00:00:00,BEQ,Donaugh Fontanet,Delayed,,,,,,,52.342600,0.772900,,
Glasgow Prestwick Airport,United Kingdom,Europe,2022-02-09 00:00:00,PIK,Jenelle Kwietak,Delayed,,,,,,,55.509400,-4.586700,,
Santa Lucia Air Force Base,Mexico,North America,2022-04-14 00:00:00,NLU,Arie Milvarnie,Cancelled,,,,,19.754800,-98.570900,,,,
El Plumerillo Airport,Argentina,South America,2022-07-25 00:00:00,MDZ,Dolph Burles,Cancelled,,,-32.831700,-68.792900,,,,,,
Coll Airport,United Kingdom,Europe,2022-10-24 00:00:00,COL,Lorraine Dunford,On Time,,,,,,,56.634100,-6.619200,,
Wiesbaden Army Airfield,Germany,Europe,2022-06-21 00:00:00,WIE,Darice Balmforth,On Time,50.049800,8.325400,,,,,,,,
Palo Verde Airport,Mexico,North America,2022-03-09 00:00:00,SRL,Phil Rabbitt,Delayed,,,,,27.833300,-112.383300,,,,
Leipzig/Halle Airport,Germany,Europe,2022-06-30 00:00:00,LEJ,Wilona Sommerlie,Delayed,51.423900,12.236400,,,,,,,,
Sierra Grande Airport,Argentina,South America,2022-04-23 00:00:00,SGV,Bil Butcher,Cancelled,,,-41.591300,-65.339400,,,,,,
Westray Airport,United Kingdom,Europe,2022-12-21 00:00:00,WRY,Fredrika Sciusscietto,Cancelled,,,,,,,59.350300,-2.950000,,
Berlin-Tempelhof International Airport,Germany,Europe,2022-01-27 00:00:00,THF,Jerry Rankling,Cancelled,52.475100,13.403900,,,,,,,,
Junin Airport,Argentina,South America,2022-09-04 00:00:00,JNI,Flemming Craisford,Cancelled,,,-34.545900,-60.930600,,,,,,
Ravenna Airport,Italy,Europe,2022-04-05 00:00:00,RAN,Ilise Antonio,On Time,,,,,,,,,44.364300,12.201700
Francisco Primo de Verdad y Ramos Airport,Mexico,North America,2022-11-25 00:00:00,LOM,Douglass Mallebone,Delayed,,,,,21.258800,-102.558000,,,,
